,x
1,NS.1780.003.UDP0195_i7---UDP0195_i5.MC3
2,NS.1780.003.UDP0196_i7---UDP0196_i5.MC4
3,NS.1780.003.UDP0197_i7---UDP0197_i5.MC5
4,NS.1780.003.UDP0198_i7---UDP0198_i5.MC6
5,NS.1780.003.UDP0199_i7---UDP0199_i5.MC7
6,NS.1780.003.UDP0200_i7---UDP0200_i5.MC8
7,NS.1780.003.UDP0201_i7---UDP0201_i5.MC9
8,NS.1780.003.UDP0202_i7---UDP0202_i5.MC10
9,NS.1780.003.UDP0203_i7---UDP0203_i5.MC11
10,NS.1780.003.UDP0204_i7---UDP0204_i5.MC12
11,NS.1780.003.UDP0205_i7---UDP0205_i5.MC13
12,NS.1780.003.UDP0206_i7---UDP0206_i5.MC14
13,NS.1780.003.UDP0207_i7---UDP0207_i5.MC15
14,NS.1780.003.UDP0208_i7---UDP0208_i5.MC16
15,NS.1780.003.UDP0209_i7---UDP0209_i5.MC17
16,NS.1780.003.UDP0211_i7---UDP0211_i5.MC19
17,NS.1780.003.UDP0212_i7---UDP0212_i5.MC20
18,NS.1780.003.UDP0213_i7---UDP0213_i5.MC21
19,NS.1780.003.UDP0214_i7---UDP0214_i5.MC22
20,NS.1780.003.UDP0215_i7---UDP0215_i5.MC23
21,NS.1780.003.UDP0216_i7---UDP0216_i5.MC24
22,NS.1780.003.UDP0217_i7---UDP0217_i5.MC25
23,NS.1780.003.UDP0218_i7---UDP0218_i5.MC26
24,NS.1780.003.UDP0219_i7---UDP0219_i5.MC27
25,NS.1780.003.UDP0220_i7---UDP0220_i5.MC28
26,NS.1780.003.UDP0221_i7---UDP0221_i5.MC29
27,NS.1780.003.UDP0222_i7---UDP0222_i5.MC30
28,NS.1780.003.UDP0223_i7---UDP0223_i5.MC31
29,NS.1780.003.UDP0224_i7---UDP0224_i5.MC32
30,NS.1780.003.UDP0225_i7---UDP0225_i5.MC33
31,NS.1780.003.UDP0226_i7---UDP0226_i5.MC34
32,NS.1780.003.UDP0227_i7---UDP0227_i5.MC35
33,NS.1780.003.UDP0228_i7---UDP0228_i5.MC36
34,NS.1780.003.UDP0229_i7---UDP0229_i5.MC37
35,NS.1780.003.UDP0230_i7---UDP0230_i5.MC38
36,NS.1780.003.UDP0231_i7---UDP0231_i5.MC39
37,NS.1780.003.UDP0232_i7---UDP0232_i5.MC40
38,NS.1780.003.UDP0233_i7---UDP0233_i5.MC41
39,NS.1780.003.UDP0234_i7---UDP0234_i5.MC42
40,NS.1780.003.UDP0235_i7---UDP0235_i5.MC43
41,NS.1780.003.UDP0236_i7---UDP0236_i5.MC44
42,NS.1780.003.UDP0237_i7---UDP0237_i5.MC45
43,NS.1780.003.UDP0238_i7---UDP0238_i5.MC46
44,NS.1780.003.UDP0239_i7---UDP0239_i5.MC47
45,NS.1780.003.UDP0240_i7---UDP0240_i5.MC48
46,NS.1780.003.UDP0241_i7---UDP0241_i5.ME1
47,NS.1780.003.UDP0242_i7---UDP0242_i5.ME2
48,NS.1780.003.UDP0243_i7---UDP0243_i5.ME3
49,NS.1780.003.UDP0244_i7---UDP0244_i5.ME4
50,NS.1780.003.UDP0245_i7---UDP0245_i5.ME5
51,NS.1780.003.UDP0246_i7---UDP0246_i5.ME6
52,NS.1780.003.UDP0247_i7---UDP0247_i5.ME7
53,NS.1780.003.UDP0248_i7---UDP0248_i5.ME8
54,NS.1780.003.UDP0249_i7---UDP0249_i5.ME9
55,NS.1780.003.UDP0250_i7---UDP0250_i5.ME10
56,NS.1780.003.UDP0251_i7---UDP0251_i5.ME11
57,NS.1780.003.UDP0252_i7---UDP0252_i5.ME12
58,NS.1780.003.UDP0253_i7---UDP0253_i5.ME13
59,NS.1780.003.UDP0254_i7---UDP0254_i5.ME14
60,NS.1780.003.UDP0255_i7---UDP0255_i5.ME15
61,NS.1780.003.UDP0256_i7---UDP0256_i5.ME16
62,NS.1780.003.UDP0257_i7---UDP0257_i5.ME17
63,NS.1780.003.UDP0258_i7---UDP0258_i5.ME18
64,NS.1780.003.UDP0259_i7---UDP0259_i5.ME19
65,NS.1780.003.UDP0260_i7---UDP0260_i5.ME20
66,NS.1780.003.UDP0261_i7---UDP0261_i5.ME21
67,NS.1780.003.UDP0262_i7---UDP0262_i5.ME22
