SampleSite	Code	Rpop	Lat	Long	lon GLORYS	lat GLORYS	Distance (km)	GLORYS bottom level	GLORYS depth (m)	netCDF file	spring_sal	summer_sal	fall_sal	winter_sal	winter_temp_min	winter_temp_mean	spring_temp_min	spring_temp_mean	summer_temp_mean	summer_temp_max	fall_temp_min	fall_temp_max
3N200	3N	CMA 3N200	43.75	-49.3	-49.3333	43.75	2.685	23	124.7	locations_nc/GLORYS_monthly_3N200_1993_2024.nc	33.4830677668963	33.4900204162113	33.5118920146488	33.6126745478915	-0.162511043250561	1.53315547215087	-1.38349556922913	1.08560298436454	1.0205817013979	2.52336193621159	-1.34833824634552	3.32905058562756
AW	AW	Laurentian Chan	46.33333333	-57.25116667	-57.25	46.3333	0.09	21	86.1	locations_nc/GLORYS_monthly_AW_1993_2024.nc	32.73538850647	32.9431032948196	32.7204199042171	32.6325701948787	-0.529465600848198	2.28234128121819	-0.413739413022995	2.4604066110083	3.26122625023127	10.830744355917	-0.90667437762022	11.494338825345
Baie des Chaleurs	BDC	Chaleurs	47.83	-65.5	-65.5	47.8333	0.37	18	50.4	locations_nc/GLORYS_monthly_Baie_des_Chaleurs_1993_2024.nc	31.4755311501878	31.7319762473926	31.2472151569091	31.2737941143236	-0.065828405320644	1.71544107581888	-0.318521663546562	0.886535107025078	1.72824489846826	5.11108738929033	1.06726281344891	6.03250222653151
Bonavista	5A	CMA 5A	48.99	-53.12	-53.0833	49	2.905	28	277	locations_nc/GLORYS_monthly_Bonavista_1993_2024.nc	33.7750281739448	33.8604642567225	33.7290312093683	33.6758187972009	-0.752128645777702	0.615158707967826	-0.684743776917458	0.769053378275463	0.607190179824829	2.09707939624786	-1.19891962409019	2.14542071521282
Bradelle Bank	BB	Bradelle Bank	47.43418333	-63.13306667	-63.1667	47.4167	3.197	20	68.5	locations_nc/GLORYS_monthly_Bradelle_Bank_1993_2024.nc	31.6589570803834	31.9215216231532	31.6479486180469	31.4269437454641	-1.32636491954327	1.23952671991927	-1.76583145558834	-0.101020606500762	0.489815992489457	2.15421004593372	-0.106845282018185	3.59126561880112
CFA8A	8A	CMA 8A	46.83	-52.42	-52.4167	46.8333	0.449	23	119.5	locations_nc/GLORYS_monthly_CFA8A_1993_2024.nc	33.073986524583	32.9986469820142	32.9878383432515	33.0236915365926	-1.13812675327063	-0.138572905744825	-1.06414988636971	-0.125946962407657	-0.774358328059316	0.545030079782009	-1.84493543207645	0.362651467323303
CMA 10A	10A	CMA 10A	46.749833	-54.832167	-54.8333	46.75	0.091	25	229.5	locations_nc_2025_newpointsonly/GLORYS_monthly_CMA_10A_v2_1993_2024.nc	32.955618305797	33.1697540916502	33.143584469799	32.9988165292889	-1.08026365935802	0.365092948079109	-0.938901923596859	0.710376457444259	1.55203102491796	7.21173743158579	-1.19525740295649	6.73711357265711
Fortune Bay	FB	Fortune Bay	47.35	-55.46	-55.5	47.3333	3.546	26	215.4	locations_nc/GLORYS_monthly_Fortune_Bay_1993_2024.nc	32.9691215351756	33.0432294378988	33.0109306820668	32.9816438124648	1.25843075662851	3.21605653102909	1.28846096992493	2.91237701635276	2.87394636534154	6.3320719152689	0.841669991612434	6.54374829679728
Labrador 2420	2420	CMA 12C	48.46416667	-58.63138889	-58.6667	48.5	4.762	16	34.4	locations_nc/GLORYS_monthly_Labrador_2420_1993_2024.nc	31.4946778817102	31.4784691622481	31.248690218199	31.2778632489166	-1.37470623850822	-0.015603658344064	-1.18720051646233	1.83281235662954	5.25391401350498	9.59584338963032	1.54335156083107	8.79747918248177
Labrador 6222	6222	CMA 12G	49.48417	-57.91778	-58	49.5833	12.532	20	65.8	locations_nc/GLORYS_monthly_Labrador_6222_1993_2024.nc	31.9422705764217	31.990646047052	31.9580929703079	31.7040808764952	-1.49116487056017	0.382613479026726	-1.63325905054808	0.085084170635257	0.501852492615581	1.92495500296354	-0.440839849412441	4.06881925463676
LilyCanyon	LC	Lilly Canyon	44.899451	-49.147473	-49.1667	44.9167	2.441	27	246	locations_nc/GLORYS_monthly_LilyCanyon_1993_2024.nc	34.0635491934206	34.0610725921579	34.0255185286514	34.0588018697287	-0.385174088180065	2.06863033239331	0.003753796219826	1.88435085277472	1.96013674065471	4.39768671244383	-0.32584610581398	3.58540606498718
ManagementArea 4	4	CMA 4	52.09	-52.88	-52.9167	52.0833	2.621	27	231.8	locations_nc/GLORYS_monthly_ManagementArea_4_1993_2024.nc	34.4963549436735	34.5021667820401	34.5794549072161	34.5049534126052	1.58510088175535	3.14250982978514	1.90737634152174	2.90143685734698	2.68556171022356	4.20212410390377	2.10000917315483	4.04025392979383
MaritimeB	MB	Mar B	46.0235	-58.951	-58.9167	46	3.727	23	109.7	locations_nc/GLORYS_monthly_MaritimeB_1993_2024.nc	33.1734502222389	33.292133314535	33.2485427102074	33.2805072156979	0.927365966141224	3.24392428994179	1.07165747880936	2.99110895767808	3.54896696470678	6.57670828700066	1.17786189168692	6.25296793878078
MaritimeC	MC	Mar C	44.45433	-63.25367	-63.25	44.4167	4.195	21	84.1	locations_nc/GLORYS_monthly_MaritimeC_1993_2024.nc	32.293548308579	32.6895199134015	32.5425478583202	32.0376288079257	-0.316324330866337	3.09090157704694	0.053560003638268	2.42813256063632	3.31180152408779	6.51078830659389	2.09268473088741	7.74568927288055
MaritimeD	MD	Mar D	44.45767	-60.865	-60.8333	44.4167	5.207	20	76.2	locations_nc/GLORYS_monthly_MaritimeD_1993_2024.nc	32.6630523727675	32.6924700359814	32.6074505550787	32.7655921424074	1.39759515970945	4.4307048331414	0.687124259769917	3.41399667678135	3.54644003212452	6.76860867440701	2.08975495398045	9.89394818991423
