,site,season,prec_lower,prec_upper,mean,min,max,sd
1,3N200,Fall,33.3113091113046,33.6807356681675,33.5118920146488,33.0973234958947,33.9640491642058,NA
2,3N200,Spring,33.2753481343389,33.6792097426951,33.4830677668963,32.8302865382284,34.2799157369882,NA
3,3N200,Summer,33.284605415538,33.6495559243485,33.4900204162113,33.1080049742013,34.0083010029048,NA
4,3N200,Winter,33.3958962466568,33.8872442487627,33.6126745478915,33.1415753345937,34.1639454010874,NA
5,AW,Fall,32.3051647190005,33.1109042325988,32.7204199042171,32.0703756529838,34.810937801376,NA
6,AW,Spring,32.4462619610131,32.9355753958225,32.73538850647,32.1161534171551,34.3211157247424,NA
7,AW,Summer,32.6245917845517,33.2522049313411,32.9431032948196,32.2580644860864,34.7834711428732,NA
8,AW,Winter,32.4152348097414,32.9401531722397,32.6325701948787,32.2702718898654,33.3521530497819,NA
9,Baie_des_Chaleurs,Fall,30.9102653805166,31.5514083998278,31.2472151569091,29.8287911340594,32.1253089699894,NA
10,Baie_des_Chaleurs,Spring,31.2295907177031,31.7392498254776,31.4755311501878,30.6985686533153,32.2229682002217,NA
11,Baie_des_Chaleurs,Summer,31.5090385358781,31.9757682736963,31.7319762473926,31.192968506366,32.2824792936444,NA
12,Baie_des_Chaleurs,Winter,30.8491266332567,31.7066967487335,31.2737941143236,29.0108950808644,32.1512497030199,NA
13,Bonavista,Fall,33.4629352390766,33.993041748181,33.7290312093683,33.1690419930965,34.3241675756872,NA
14,Bonavista,Spring,33.5968097671866,33.9884639717638,33.7750281739448,33.3628345280886,34.0907009784132,NA
15,Bonavista,Summer,33.580329772085,34.1297646705061,33.8604642567225,33.4620196837932,34.3729971908033,NA
16,Bonavista,Winter,33.4727011620998,33.848078828305,33.6758187972009,33.2773827016354,34.0632343199104,NA
17,Bradelle_Bank,Fall,31.3126010634005,31.9580166740343,31.6479486180469,30.7580797467381,32.3541977908462,NA
18,Bradelle_Bank,Spring,31.3226721715182,32.0774966385216,31.6589570803834,30.5658131372184,32.2641681879759,NA
19,Bradelle_Bank,Summer,31.5991698671132,32.2746970737353,31.9215216231532,31.3364055007696,32.570879207924,NA
20,Bradelle_Bank,Winter,31.0464796610177,31.833348562941,31.4269437454641,30.5520798079669,32.2214422747493,NA
21,CFA8A,Fall,32.8665527002886,33.1354207685217,32.9878383432515,32.325205206871,33.4345530252904,NA
22,CFA8A,Spring,32.9030223190784,33.2290617283434,33.073986524583,32.6899013947695,33.5963011253625,NA
23,CFA8A,Summer,32.8219956764951,33.1512903934345,32.9986469820142,32.4747459031641,33.5062715224922,NA
24,CFA8A,Winter,32.8145186416805,33.1771802622825,33.0236915365926,32.6075014192611,33.5917233489454,NA
25,CMA_10A,Fall,32.7447838475928,33.762779594399,33.143584469799,32.6517532579601,34.194463910535,NA
26,CMA_10A,Spring,32.7285581734031,33.2270271610469,32.955618305797,32.5235755182803,34.0907009784132,NA
27,CMA_10A,Summer,32.7656381623819,33.8445183355361,33.1697540916502,32.6639606617391,34.3211157247424,NA
28,CMA_10A,Winter,32.8297778964043,33.416750561446,32.9988165292889,32.6685384381562,33.5978270508349,NA
29,Fortune_Bay,Fall,32.7512435987592,33.3546453947201,33.0109306820668,32.6456495560706,33.9503158349544,NA
30,Fortune_Bay,Spring,32.6909186784178,33.3297728095204,32.9691215351756,32.6227606739849,33.6863307282329,NA
31,Fortune_Bay,Summer,32.797936918214,33.3546962589025,33.0432294378988,32.6670125126839,33.8908047415316,NA
32,Fortune_Bay,Winter,32.7728100121021,33.2056642044336,32.9816438124648,32.6471754815429,33.6481825914234,NA
33,Labrador_2420,Fall,30.8813236607239,31.6503900988027,31.248690218199,30.407116888091,32.1771904360503,NA
34,Labrador_2420,Spring,31.2166203511879,31.7840103060007,31.4946778817102,30.4254279937595,32.0657978765666,NA
35,Labrador_2420,Summer,31.1634672805667,31.8016093131155,31.4784691622481,30.9533982072026,31.9849238265306,NA
36,Labrador_2420,Winter,30.9244056232274,31.6339609678835,31.2778632489166,29.7524948604405,32.3114718776196,NA
37,Labrador_6222,Fall,31.7190567450598,32.1959084551781,31.9580929703079,31.281472183764,32.5937680900097,NA
38,Labrador_6222,Spring,31.6700745373964,32.1339558809996,31.9422705764217,31.4447462093085,32.4076051823795,NA
39,Labrador_6222,Summer,31.6769412020221,32.2080649947748,31.990646047052,31.337931426242,32.4289681389928,NA
40,Labrador_6222,Winter,31.4488153439015,32.0215460378677,31.7040808764952,30.8740500826389,32.3282570578158,NA
41,LilyCanyon,Fall,33.7626778660342,34.2202011868358,34.0255185286514,33.5169530007988,34.4035157002509,NA
42,LilyCanyon,Spring,33.8847010396421,34.2478713020682,34.0635491934206,33.6191900074482,34.5912045333534,NA
43,LilyCanyon,Summer,33.8700521551073,34.2361725401133,34.0610725921579,33.6634418461472,34.4676045700908,NA
44,LilyCanyon,Winter,33.8897874578834,34.2127750162035,34.0588018697287,33.4879604168236,34.5408489927649,NA
45,ManagementArea_4,Fall,34.4182154489681,34.7301654797047,34.5794549072161,34.3272194266319,34.855189640075,NA
46,ManagementArea_4,Spring,34.4030070584267,34.6212144009769,34.4963549436735,34.2860194388777,34.7361674532294,NA
47,ManagementArea_4,Summer,34.3792026210576,34.682251419872,34.5021667820401,34.2097231652588,34.8277229815722,NA
48,ManagementArea_4,Winter,34.3643502797931,34.6563106868416,34.5049534126052,34.2249824199826,34.7270119003952,NA
49,MaritimeB,Fall,33.0572425201535,33.4223456215113,33.2485427102074,32.8058717306703,33.9915158227086,NA
50,MaritimeB,Spring,32.9783013090491,33.6039307527244,33.1734502222389,32.5739310588688,33.9838861953467,NA
51,MaritimeB,Summer,33.0377615382895,33.6086611216888,33.292133314535,32.6380199287087,33.9411602821201,NA
52,MaritimeB,Winter,32.9533778596669,33.6151208728552,33.2805072156979,32.804345805198,33.7626270018518,NA
53,MaritimeC,Fall,32.2358368383721,32.9833877272904,32.5425478583202,31.3547166064382,33.4910122677684,NA
54,MaritimeC,Spring,32.0764793548733,32.5571458786726,32.293548308579,31.5683461725712,32.9783013090491,NA
55,MaritimeC,Summer,32.4136071559042,33.0582598038018,32.6895199134015,32.2351756040007,33.521530777216,NA
56,MaritimeC,Winter,31.7265337798744,32.4371064081788,32.0376288079257,31.225012941286,32.6792199164629,NA
57,MaritimeD,Fall,32.2922452166677,32.8953926917166,32.6074505550787,31.9711904972792,33.2712789997458,NA
58,MaritimeD,Spring,32.2951953392476,33.2417777739465,32.6630523727675,31.885738670826,33.9976195245981,NA
59,MaritimeD,Summer,32.3582669254392,32.9914242681116,32.6924700359814,32.1619311813265,33.6085085291415,NA
60,MaritimeD,Winter,32.36945704557,33.227535802871,32.7655921424074,31.6339609678835,33.65886406973,NA
61,MaritimeE,Fall,33.0828272039071,33.8485874701291,33.4408856160007,32.784508774057,35.1908932439983,NA
