INDV	O(HOM)	E(HOM)	N_SITES	F	POP	LAT
NS.1781.002.UDP0200_i7---UDP0200_i5.BdC17	83904	85198.5	115959	-0.04208	Baie des Chal	47.83
NS.1781.002.UDP0208_i7---UDP0208_i5.BdC18	86451	89206.7	121351	-0.08573	Baie des Chal	47.83
NS.1781.002.UDP0216_i7---UDP0216_i5.BdC19	85911	87128.1	118530	-0.03876	Baie des Chal	47.83
NS.1781.002.UDP0224_i7---UDP0224_i5.BdC20	87981	92763.8	126036	-0.14375	Baie des Chal	47.83
NS.1781.002.UDP0232_i7---UDP0232_i5.BdC21	86802	90918.5	123627	-0.12585	Baie des Chal	47.83
NS.1781.002.UDP0240_i7---UDP0240_i5.BdC22	87280	91865.3	124855	-0.13899	Baie des Chal	47.83
NS.1781.002.UDP0248_i7---UDP0248_i5.BdC23	87445	95754.3	130010	-0.24257	Baie des Chal	47.83
NS.1781.002.UDP0256_i7---UDP0256_i5.BdC24	86696	91609.9	124524	-0.1493	Baie des Chal	47.83
NS.1781.002.UDP0264_i7---UDP0264_i5.BdC25	88357	94784.9	128737	-0.18932	Baie des Chal	47.83
NS.1781.002.UDP0272_i7---UDP0272_i5.BdC26	85291	87617.6	119190	-0.07369	Baie des Chal	47.83
NS.1781.002.UDP0274_i7---UDP0274_i5.BdC2	86619	96743.5	131324	-0.29278	Baie des Chal	47.83
NS.1781.002.UDP0275_i7---UDP0275_i5.BdC3	88179	95783.5	130044	-0.22196	Baie des Chal	47.83
NS.1781.002.UDP0277_i7---UDP0277_i5.BdC5	87731	92410.9	125575	-0.14111	Baie des Chal	47.83
NS.1781.002.UDP0278_i7---UDP0278_i5.BdC6	87937	93042.4	126448	-0.15283	Baie des Chal	47.83
NS.1781.002.UDP0279_i7---UDP0279_i5.BdC7	87787	92346.5	125511	-0.13748	Baie des Chal	47.83
NS.1781.002.UDP0281_i7---UDP0281_i5.BdC9	86030	88099.7	119849	-0.06519	Baie des Chal	47.83
NS.1781.002.UDP0282_i7---UDP0282_i5.BdC10	87980	94743	128665	-0.19937	Baie des Chal	47.83
NS.1781.002.UDP0283_i7---UDP0283_i5.BdC11	86962	96203.8	130630	-0.26845	Baie des Chal	47.83
NS.1781.002.UDP0284_i7---UDP0284_i5.BdC12	87780	95040.1	129078	-0.21329	Baie des Chal	47.83
NS.1781.002.UDP0286_i7---UDP0286_i5.BdC14	88379	93625.5	127195	-0.15629	Baie des Chal	47.83
NS.1781.002.UDP0287_i7---UDP0287_i5.BdC15	87264	94357.2	128170	-0.20978	Baie des Chal	47.83
NS.1781.003.UDP0274_i7---UDP0274_i5.BdC28	87881	96633.8	131196	-0.25325	Baie des Chal	47.83
NS.1781.003.UDP0275_i7---UDP0275_i5.BdC29	87797	93953.8	127636	-0.18279	Baie des Chal	47.83
