INDV,O(HOM),E(HOM),N_SITES,F,POP
NS.1780.003.UDP0195_i7---UDP0195_i5.MC3.realigned.bam,5183080,5696706.2,7853985,-0.23809,MarC
NS.1780.003.UDP0196_i7---UDP0196_i5.MC4.realigned.bam,5177836,5852297.4,8063340,-0.30504,MarC
NS.1780.003.UDP0197_i7---UDP0197_i5.MC5.realigned.bam,5201554,5749374.1,7924881,-0.25181,MarC
NS.1780.003.UDP0198_i7---UDP0198_i5.MC6.realigned.bam,5132011,5917449.6,8151089,-0.35164,MarC
NS.1780.003.UDP0199_i7---UDP0199_i5.MC7.realigned.bam,5191052,5643889.3,7782848,-0.21171,MarC
NS.1780.003.UDP0200_i7---UDP0200_i5.MC8.realigned.bam,5222560,5763388.2,7943335,-0.24809,MarC
NS.1780.003.UDP0201_i7---UDP0201_i5.MC9.realigned.bam,5229121,5750144.8,7925077,-0.23956,MarC
NS.1780.003.UDP0202_i7---UDP0202_i5.MC10.realigned.bam,5192573,5771858.3,7955184,-0.26532,MarC
NS.1780.003.UDP0203_i7---UDP0203_i5.MC11.realigned.bam,5217682,5788592,7977600,-0.26081,MarC
NS.1780.003.UDP0204_i7---UDP0204_i5.MC12.realigned.bam,5155256,5924010.2,8159453,-0.34389,MarC
NS.1780.003.UDP0205_i7---UDP0205_i5.MC13.realigned.bam,5071926,5978242.9,8232552,-0.40204,MarC
NS.1780.003.UDP0206_i7---UDP0206_i5.MC14.realigned.bam,5213706,5787228.2,7976125,-0.26201,MarC
NS.1780.003.UDP0207_i7---UDP0207_i5.MC15.realigned.bam,5104462,5973029.9,8225595,-0.38559,MarC
NS.1780.003.UDP0208_i7---UDP0208_i5.MC16.realigned.bam,5227256,5727181.4,7894453,-0.23067,MarC
NS.1780.003.UDP0209_i7---UDP0209_i5.MC17.realigned.bam,5202413,5882491.3,8104060,-0.30613,MarC
NS.1780.003.UDP0210_i7---UDP0210_i5.MC18.realigned.bam,2856974,2566842.7,3582292,0.28572,MarC
NS.1780.003.UDP0211_i7---UDP0211_i5.MC19.realigned.bam,5215331,5608257.2,7734623,-0.18479,MarC
NS.1780.003.UDP0212_i7---UDP0212_i5.MC20.realigned.bam,5153798,5938584.1,8179327,-0.35023,MarC
NS.1780.003.UDP0213_i7---UDP0213_i5.MC21.realigned.bam,5112161,5961690.4,8210108,-0.37783,MarC
NS.1780.003.UDP0214_i7---UDP0214_i5.MC22.realigned.bam,5205673,5864533.2,8079641,-0.29744,MarC
NS.1780.003.UDP0215_i7---UDP0215_i5.MC23.realigned.bam,5198486,5908352.8,8138673,-0.31828,MarC
NS.1780.003.UDP0216_i7---UDP0216_i5.MC24.realigned.bam,5134068,5944731.4,8187666,-0.36143,MarC
NS.1780.003.UDP0217_i7---UDP0217_i5.MC25.realigned.bam,4695636,4607388.1,6378268,0.04983,MarC
NS.1780.003.UDP0218_i7---UDP0218_i5.MC26.realigned.bam,5212954,5859560,8073172,-0.2921,MarC
NS.1780.003.UDP0219_i7---UDP0219_i5.MC27.realigned.bam,5217509,5745846,7920278,-0.24298,MarC
NS.1780.003.UDP0220_i7---UDP0220_i5.MC28.realigned.bam,5174995,5905096.5,8134642,-0.32747,MarC
NS.1780.003.UDP0221_i7---UDP0221_i5.MC29.realigned.bam,5230045,5804394.3,7998457,-0.26177,MarC
NS.1780.003.UDP0222_i7---UDP0222_i5.MC30.realigned.bam,5184317,5899716.6,8126954,-0.3212,MarC
NS.1780.003.UDP0223_i7---UDP0223_i5.MC31.realigned.bam,5230763,5813533.2,8010834,-0.26522,MarC
NS.1780.003.UDP0224_i7---UDP0224_i5.MC32.realigned.bam,5183894,5912206.9,8143952,-0.32634,MarC
NS.1780.003.UDP0225_i7---UDP0225_i5.MC33.realigned.bam,5262788,5681657.6,7832556,-0.19474,MarC
NS.1780.003.UDP0226_i7---UDP0226_i5.MC34.realigned.bam,5259820,5647690.3,7787766,-0.18124,MarC
NS.1780.003.UDP0227_i7---UDP0227_i5.MC35.realigned.bam,5252661,5741560.5,7914861,-0.22496,MarC
NS.1780.003.UDP0228_i7---UDP0228_i5.MC36.realigned.bam,5230646,5838083,8043809,-0.27539,MarC
NS.1780.003.UDP0229_i7---UDP0229_i5.MC37.realigned.bam,5226993,5771271.3,7954067,-0.24935,MarC
NS.1780.003.UDP0230_i7---UDP0230_i5.MC38.realigned.bam,5252513,5740504,7912648,-0.22466,MarC
NS.1780.003.UDP0231_i7---UDP0231_i5.MC39.realigned.bam,5159890,5915663.3,8148457,-0.33849,MarC
NS.1780.003.UDP0232_i7---UDP0232_i5.MC40.realigned.bam,5201054,5841275.8,8048403,-0.29007,MarC
NS.1780.003.UDP0233_i7---UDP0233_i5.MC41.realigned.bam,5286903,5628827.5,7762328,-0.16026,MarC
NS.1780.003.UDP0234_i7---UDP0234_i5.MC42.realigned.bam,5199321,5793476.9,7984192,-0.27122,MarC
NS.1780.003.UDP0235_i7---UDP0235_i5.MC43.realigned.bam,5084692,5997568.7,8258766,-0.40371,MarC
NS.1780.003.UDP0236_i7---UDP0236_i5.MC44.realigned.bam,5223509,5786137.1,7974177,-0.25714,MarC
NS.1780.003.UDP0237_i7---UDP0237_i5.MC45.realigned.bam,5178939,5819870.8,8020103,-0.2913,MarC
NS.1780.003.UDP0238_i7---UDP0238_i5.MC46.realigned.bam,5227867,5647860.5,7788063,-0.19624,MarC
NS.1780.003.UDP0239_i7---UDP0239_i5.MC47.realigned.bam,5045033,5156975.4,7125190,-0.05688,MarC
NS.1780.003.UDP0240_i7---UDP0240_i5.MC48.realigned.bam,5289342,5761569.8,7941445,-0.21663,MarC
NS.1780.003.UDP0241_i7---UDP0241_i5.ME1.realigned.bam,5246139,5835712.7,8040459,-0.26741,MarE
NS.1780.003.UDP0242_i7---UDP0242_i5.ME2.realigned.bam,4796172,4687396,6486243,0.06047,MarE
NS.1780.003.UDP0243_i7---UDP0243_i5.ME3.realigned.bam,5255666,5855269.9,8067367,-0.27106,MarE
NS.1780.003.UDP0244_i7---UDP0244_i5.ME4.realigned.bam,5201814,5662291,7807590,-0.21464,MarE
