Missing data from input file 30kSNPs_genepop_mod.txt.

Possible four types of missing data at a locus:
	1. Genotype contains only zeros or partially scored.
	2. Genotype has less digits than normal one.
	3. Genotype has more digits than normal one.
	4. Genotype contains non-digit character.
Types 3 and 4 stop the program.

In the table, each row is for an individual with missing data
(a) If column 'Locus' has only one number, then it is the first
    locus with missing data and also of highest missing data type.
(b) If column 'Locus' has 2 numbers, then the first number is
    the first locus with data missing, and the second number is
    the first locus that has highest missing data type.
(c) Genotype column contains the genotype of the locus in case (a)
    or the second locus in case (b).

Population 1 [NS.1780.003.UDP0195_i7---UDP0]
-----------------------------------------------------------
Individual       Locus         Genotype     Number of Loci
                                          with missing data
       1           31           000000          1010
       2           38           000000           550
       3           64           000000           878
       4           76           000000           435
       5           61           000000          1122
       6           45           000000           781
       7          177           000000           806
       8           59           000000           777
       9           47           000000           741
      10          316           000000           366
      11           55           000000           260
      12           63           000000           754
      13          108           000000           259
      14           29           000000           882
      15           46           000000           453
      16           48           000000          1215
      17          233           000000           326
      18          125           000000           279
      19           52           000000           543
      20           76           000000           389
      21           31           000000           315
      22           31           000000          4968
      23          278           000000           497
      24          125           000000           793
      25           31           000000           389
      26           68           000000           615
      27          119           000000           454
      28          150           000000           629
      29           45           000000           408
      30           38           000000          1079
      31           43           000000          1097
      32          143           000000           854
      33           76           000000           575
      34           82           000000           720
      35           28           000000           879
      36           47           000000           340
      37           76           000000           559
      38            4           000000          1217
      39           62           000000           661
      40          465           000000           190
      41           48           000000           702
      42           58           000000           636
      43            4           000000          1068
      44           37           000000          2656
      45          125           000000           847
-----------------------------------------------------------
Total missing data for population    1:        35974

Population 2 [NS.1780.003.UDP0241_i7---UDP0]
-----------------------------------------------------------
Individual       Locus         Genotype     Number of Loci
                                          with missing data
       1            2           000000           570
       2           11           000000          4688
       3          181           000000           583
       4           56           000000          1017
       5           56           000000           432
       6          180           000000           162
       7           63           000000           601
       8           46           000000           384
       9           42           000000           786
      10           28           000000           870
      11           60           000000           580
      12           76           000000          1310
      13          213           000000           562
      14           51           000000          1274
      15           48           000000          1249
      16          150           000000           796
      17           29           000000           872
      18          112           000000           336
      19           59           000000           777
      20           46           000000          1362
      21            4           000000           909
      22           61           000000           886
      23          602           000000           132
      24          163           000000           539
      25          164           000000          1172
      26          100           000000           783
      27          167           000000           588
      28           65           000000           736
      29           11           000000          1654
      30           44           000000           979
      31          170           000000           437
      32           47           000000           438
      33            3           000000          6911
      34          168           000000           405
      35           46           000000           851
      36           11           000000          1007
      37           11           000000          1325
      38           47           000000           497
      39           48           000000           601
      40          184           000000           526
      41            8           000000           988
      42           31           000000          1255
      43           62           000000          1494
      44           43           000000           801
      45           43           000000          1735
      46           56           000000          1022
-----------------------------------------------------------
Total missing data for population    2:        47882

Population 3 [NS.1780.004.UDP0193_i7---UDP0]
-----------------------------------------------------------
Individual       Locus         Genotype     Number of Loci
                                          with missing data
       1           51           000000          1308
       2            1           000000          3279
       3           41           000000          1149
       4           57           000000          2372
       5          232           000000           453
       6          134           000000          1387
       7           66           000000           795
       8           28           000000          2856
       9           59           000000           499
      10           45           000000          1378
      11          377           000000           257
      12          117           000000           201
      13           50           000000          1153
      14           11           000000          2737
      15          168           000000           356
      16           60           000000           972
      17           76           000000          1013
      18          166           000000           367
      19           75           000000           480
      20          108           000000           792
      21           45           000000           246
      22          117           000000           224
      23            1           000000          3589
      24          108           000000           613
      25          119           000000           245
      26           45           000000          1460
      27           59           000000          1654
      28          153           000000           683
      29           28           000000          1649
      30            8           000000           891
      31           46           000000          1151
      32          246           000000           289
      33           59           000000           208
-----------------------------------------------------------
Total missing data for population    3:        36706

Population 4 [NS.1780.004.UDP0228_i7---UDP0]
-----------------------------------------------------------
Individual       Locus         Genotype     Number of Loci
                                          with missing data
       1           46           000000          1073
       2          116           000000           248
       3          108           000000           157
       4          217           000000           129
       5          144           000000           570
       6           76           000000           316
       7          345           000000           107
       8          257           000000           235
       9          150           000000           241
      10          424           000000           165
      11          117           000000           499
      12           41           000000           733
      13          115           000000          1019
      14           59           000000           613
      15          175           000000           360
      16          106           000000           692
      17           76           000000           417
      18           47           000000           860
      19           46           000000           439
      20           59           000000          1118
      21           59           000000          1554
      22          141           000000           726
      23           52           000000          1166
      24           77           000000          1285
      25          173           000000           873
      26           38           000000          1426
      27          125           000000           535
      28           31           000000          1995
      29           42           000000          2330
      30           31           000000           641
      31           45           000000           827
      32           98           000000          1017
      33           59           000000           926
-----------------------------------------------------------
Total missing data for population    4:        25292

Population 5 [NS.1780.004.UDP0263_i7---UDP0]
-----------------------------------------------------------
Individual       Locus         Genotype     Number of Loci
                                          with missing data
       1           60           000000           486
       2           31           000000           532
       3           43           000000          1263
       4           40           000000          1075
       5           45           000000           431
       6          655           000000           280
       7           63           000000           896
       8           11           000000          2030
       9           62           000000          1049
      10           41           000000           570
      11            3           000000          7028
      12           11           000000          6947
      13           28           000000          2146
      14           28           000000          2496
      15           28           000000          4062
      16           28           000000          4413
      17            2           000000          3533
      18            4           000000          6401
      19            5           000000          3776
      20           45           000000          2538
      21           11           000000           889
      22           28           000000          1533
      23          156           000000           665
      24           47           000000           849
      25          112           000000           314
      26           65           000000           268
      27           52           000000          1399
      28           11           000000          1999
      29          144           000000           784
      30           83           000000           504
      31          125           000000           341
      32           47           000000           449
      33            2           000000           824
      34          195           000000           801
-----------------------------------------------------------
Total missing data for population    5:        63571

Population 6 [NS.1781.001.UDP0193_i7---UDP0]
-----------------------------------------------------------
Individual       Locus         Genotype     Number of Loci
                                          with missing data
       1           38           000000          1078
       2           47           000000          1423
       3            8           000000          3131
       4           63           000000           801
       5           31           000000           773
       6           53           000000          1638
       7           27           000000          2405
       8           28           000000          4271
       9            2           000000          8036
      10           47           000000           923
      11           77           000000           695
      12           59           000000          1084
      13           46           000000           880
      14           76           000000           951
      15           40           000000          1564
      16            3           000000          1250
      17           61           000000           788
      18           11           000000          3031
      19           61           000000           664
      20          594           000000           213
      21          149           000000           328
      22           43           000000           850
      23          175           000000           378
      24           10           000000           436
      25           66           000000           799
      26           45           000000           599
      27          125           000000           480
      28           31           000000           529
      29          116           000000           704
      30           45           000000          1061
      31           28           000000          1233
      32          149           000000           718
      33           47           000000           846
      34           76           000000           823
      35           83           000000           960
-----------------------------------------------------------
Total missing data for population    6:        46343

Population 7 [NS.1781.001.UDP0228_i7---UDP0]
-----------------------------------------------------------
Individual       Locus         Genotype     Number of Loci
                                          with missing data
       1           59           000000           398
       2           48           000000           681
       3           64           000000           682
       4           51           000000           990
       5           48           000000           713
       6           11           000000           500
       7           10           000000           809
       8          210           000000           178
       9           49           000000           654
      10           46           000000           350
      11          120           000000           770
      12          121           000000           661
      13           48           000000           503
      14          169           000000           671
      15           47           000000           518
      16          147           000000           443
      17          169           000000           557
      18          144           000000           298
      19          108           000000           349
      20           41           000000           927
      21           48           000000           513
      22           28           000000          2881
      23           11           000000          1975
      24           63           000000           634
      25           45           000000          1622
      26           62           000000           764
      27          178           000000           545
      28           60           000000          1025
      29           56           000000           597
      30           47           000000          2046
      31           75           000000           790
      32          113           000000           479
      33           43           000000           849
      34           75           000000          1152
-----------------------------------------------------------
Total missing data for population    7:        27524

Population 8 [NS.1781.001.UDP0265_i7---UDP0]
-----------------------------------------------------------
Individual       Locus         Genotype     Number of Loci
                                          with missing data
       1          107           000000          1193
       2           28           000000          1083
       3           37           000000          1298
       4          150           000000           773
       5           82           000000           581
       6           80           000000          1446
       7           59           000000          1843
       8           11           000000          2844
       9           11           000000          2644
      10          134           000000          1823
      11           29           000000          1230
      12           15           000000          1933
      13            3           000000          5466
      14            1           000000          5957
      15            1           000000          4999
      16           76           000000           941
      17            8           000000          1872
      18          112           000000           437
      19          166           000000           608
      20           63           000000          1693
      21           31           000000           577
      22            1           000000          1480
      23           83           000000           432
-----------------------------------------------------------
Total missing data for population    8:        43153

Population 9 [NS.1781.002.UDP0193_i7---UDP0]
-----------------------------------------------------------
Individual       Locus         Genotype     Number of Loci
                                          with missing data
       1          149           000000           102
       2           74           000000           311
       3          150           000000           216
       4          189           000000           381
       5           28           000000          1295
       6           45           000000          1345
       7           38           000000          1991
       8          210           000000           104
       9           64           000000           862
      10           28           000000           303
      11          590           000000           294
      12          153           000000           770
      13           31           000000           784
      14          139           000000           508
      15           43           000000           242
      16           45           000000          1285
      17           47           000000          1549
      18           68           000000           356
      19           45           000000          1404
      20           29           000000           765
      21           48           000000           871
      22           45           000000          1857
      23           63           000000           428
      24           10           000000           173
      25           49           000000          1015
      26           48           000000           656
      27           28           000000          1797
      28           45           000000          1641
      29           37           000000          1323
      30           31           000000          1270
      31           48           000000           595
      32          108           000000           513
      33           47           000000           404
      34           55           000000          1406
      35            3           000000          6233
      36           63           000000          1713
-----------------------------------------------------------
Total missing data for population    9:        36762

Population 10 [NS.1781.002.UDP0233_i7---UDP0]
-----------------------------------------------------------
Individual       Locus         Genotype     Number of Loci
                                          with missing data
       1           43           000000           720
       2           28           000000          1045
       3           45           000000           883
       4           47           000000          1144
       5           41           000000           865
       6           63           000000           627
       7          113           000000           692
       8           58           000000           420
       9           76           000000           331
      10           60           000000           224
      11           44           000000           589
      12           43           000000           711
      13          116           000000           375
      14           76           000000           233
      15           83           000000           474
      16          211           000000           210
      17          493           000000           164
      18            6           000000          2249
      19           29           000000          1128
      20          108           000000           274
      21          113           000000           875
      22           76           000000           655
      23           58           000000           544
      24          184           000000           342
      25           42           000000          1235
      26           73           000000          2119
      27           66           000000           501
      28          104           000000           436
      29           76           000000          1774
      30            1           000000          7822
      31          277           000000           487
      32           46           000000          1271
      33           27           000000          4760
      34           48           000000           782
      35           62           000000          1176
-----------------------------------------------------------
Total missing data for population   10:        38137

Population 11 [NS.1781.002.UDP0264_i7---UDP0]
-----------------------------------------------------------
Individual       Locus         Genotype     Number of Loci
                                          with missing data
       1          150           000000           548
       2           52           000000           872
       3           61           000000          1319
       4           63           000000           900
       5          174           000000           324
       6           38           000000           790
       7           83           000000           293
       8           45           000000           717
       9           63           000000           330
      10           46           000000           496
      11           45           000000          1696
      12          116           000000           271
      13           40           000000           400
      14           45           000000           903
      15           10           000000           709
      16           10           000000           878
      17          130           000000          1758
      18          174           000000           597
      19          152           000000           381
      20           76           000000           541
      21          116           000000           672
      22          108           000000           481
      23            3           000000          1404
-----------------------------------------------------------
Total missing data for population   11:        17280

Population 12 [NS.1781.003.UDP0193_i7---UDP0]
-----------------------------------------------------------
Individual       Locus         Genotype     Number of Loci
                                          with missing data
       1           45           000000          2420
       2          115           000000           970
       3           81           000000           938
       4            7           000000           611
       5           10           000000           631
       6           47           000000           526
       7           55           000000           926
       8           41           000000           582
       9            4           000000          2539
      10           46           000000           479
