Output from NeEstimator v.2
Starting time: Tue Oct 14 12:09:47 2025
Input File: "random_001_snps_Genepop.txt"

Number of Loci = 1844


MOLECULAR COANCESTRY METHOD

Up to 17 rightmost characters are shown for Population name.
-------------------------------------------------------------

Population [#:Name]	Samp Size	Harmonic Mean	   f^1   	     Neb^ 	  Jackknife CI for Neb^
1:UDP0195_i7---UDP0	     45  	      43.7   	  0.06041	       8.3	       7.1	       9.6
2:UDP0241_i7---UDP0	     46  	      44.3   	  0.15956	       3.1	       2.8	       3.5
3:UDP0193_i7---UDP0	     33  	      31.7   	  0.09981	       5.0	       4.4	       5.6
4:UDP0228_i7---UDP0	     33  	      32.1   	  0.13886	       3.6	       3.2	       4.1
5:UDP0263_i7---UDP0	     33  	      30.8   	  0.07636	       6.5	       5.8	       7.4
6:UDP0193_i7---UDP0	     35  	      33.4   	  0.07167	       7.0	       5.9	       8.1
7:UDP0228_i7---UDP0	     34  	      33.0   	  0.09959	       5.0	       4.4	       5.7
8:UDP0371_i7---UDP0	     33  	      31.3   	  0.17446	       2.9	       2.6	       3.2
9:UDP0200_i7---UDP0	     24  	      23.3   	  0.08000	       6.3	       5.5	       7.1
10:DP0193_i7---UDP0	     34  	      32.8   	  0.14801	       3.4	       3.0	       3.7
11:DP0233_i7---UDP0	     35  	      33.7   	  0.04676	      10.7	       9.1	      12.5
12:DP0193_i7---UDP0	     34  	      32.6   	  0.10110	       4.9	       4.3	       5.6
13:DP0228_i7---UDP0	     33  	      31.3   	  0.07430	       6.7	       6.0	       7.5
14:DP0278_i7---UDP0	     25  	      23.7   	  0.08671	       5.8	       5.1	       6.4
15:DP0097_i7---UDP0	     33  	      31.6   	  0.17501	       2.9	       2.5	       3.2
16:DP0132_i7---UDP0	     35  	      33.8   	  0.06876	       7.3	       6.4	       8.2
17:DP0167_i7---UDP0	     34  	      32.6   	  0.10851	       4.6	       4.0	       5.2
18:DP0107_i7---UDP0	     28  	      27.3   	  0.06538	       7.6	       6.5	       8.9
19:DP0142_i7---UDP0	     35  	      34.2   	  0.08678	       5.8	       5.0	       6.6
20:DP0177_i7---UDP0	     34  	      31.4   	  0.21790	       2.3	       2.1	       2.5
21:DP0002_i7---UDP0	     67  	      61.9   	  0.16562	       3.0	       2.7	       3.3
22:DP0193_i7---UDP0	     45  	      43.4   	  0.09711	       5.1	       4.5	       5.8
23:DP0117_i7---UDP0	     31  	      26.4   	  0.17212	       2.9	       2.6	       3.2
24:DP0152_i7---UDP0	     35  	      31.1   	  0.19545	       2.6	       2.3	       2.8
25:DP0187_i7---UDP0	     35  	      32.8   	  0.06590	       7.6	       6.6	       8.6
26:DP0127_i7---UDP0	     33  	      31.2   	  0.09015	       5.5	       4.9	       6.3
27:DP0162_i7---UDP0	     35  	      33.0   	  0.08929	       5.6	       4.8	       6.4
28:DP0102_i7---UDP0	     35  	      33.4   	  0.09950	       5.0	       4.3	       5.8
29:DP0097_i7---UDP0	     65  	      62.0   	  0.06323	       7.9	       6.8	       9.1
30:DP0167_i7---UDP0	     34  	      31.9   	  0.16386	       3.1	       2.7	       3.4

Ending time: Tue Oct 14 13:36:21 2025
-------------------------------------

