Output from NeEstimator v.2
Starting time: Fri Oct 17 10:55:06 2025
Input File: "random_001_snps_Genepop.txt"

Number of Loci = 1844


HETEROZYGOTE EXCESS METHOD

Lowest allele frequency used:   0.0500
Up to 17 rightmost characters are shown for Population name.
-------------------------------------------------------------

Population [#:Name]	Samp Size	Harmonic Mean	Ind. Alleles	    D   	    Ne  	   Parametric CI for Ne
1:UDP0195_i7---UDP0	     45  	      43.8   	      1797  	 0.32639	     1.9	      1.9	      2.0
2:UDP0241_i7---UDP0	     46  	      44.3   	      1797  	 0.30948	     2.0	      1.9	      2.1
3:UDP0193_i7---UDP0	     33  	      31.7   	      1753  	 0.30740	     2.0	      1.9	      2.1
4:UDP0228_i7---UDP0	     33  	      32.2   	      1781  	 0.32346	     1.9	      1.9	      2.0
5:UDP0263_i7---UDP0	     33  	      30.8   	      1750  	 0.27723	     2.2	      2.1	      2.3
6:UDP0193_i7---UDP0	     35  	      33.5   	      1762  	 0.29049	     2.1	      2.0	      2.2
7:UDP0228_i7---UDP0	     34  	      33.1   	      1762  	 0.32369	     1.9	      1.9	      2.0
8:UDP0371_i7---UDP0	     33  	      31.4   	      1764  	 0.29619	     2.1	      2.0	      2.1
9:UDP0200_i7---UDP0	     24  	      23.3   	      1748  	 0.32003	     1.9	      1.9	      2.0
10:DP0193_i7---UDP0	     34  	      32.8   	      1763  	 0.32428	     1.9	      1.9	      2.0
11:DP0233_i7---UDP0	     35  	      33.7   	      1756  	 0.31416	     2.0	      1.9	      2.0
12:DP0193_i7---UDP0	     34  	      32.6   	      1765  	 0.30675	     2.0	      2.0	      2.1
13:DP0228_i7---UDP0	     33  	      31.3   	      1773  	 0.28783	     2.1	      2.1	      2.2
14:DP0278_i7---UDP0	     25  	      23.7   	      1732  	 0.28392	     2.2	      2.1	      2.2
15:DP0097_i7---UDP0	     33  	      31.6   	      1763  	 0.29571	     2.1	      2.0	      2.1
16:DP0132_i7---UDP0	     35  	      33.8   	      1769  	 0.32833	     1.9	      1.8	      2.0
17:DP0167_i7---UDP0	     34  	      32.6   	      1770  	 0.30654	     2.0	      2.0	      2.1
18:DP0107_i7---UDP0	     28  	      27.3   	      1779  	 0.32516	     1.9	      1.9	      2.0
19:DP0142_i7---UDP0	     35  	      34.2   	      1768  	 0.33849	     1.9	      1.8	      1.9
20:DP0177_i7---UDP0	     34  	      31.4   	      1732  	 0.25163	     2.4	      2.3	      2.5
21:DP0002_i7---UDP0	     67  	      62.1   	      1754  	 0.25118	     2.4	      2.3	      2.5
22:DP0193_i7---UDP0	     45  	      43.4   	      1775  	 0.31571	     2.0	      1.9	      2.0
23:DP0117_i7---UDP0	     31  	      26.6   	      1651  	 0.18799	     3.1	      3.0	      3.2
24:DP0152_i7---UDP0	     35  	      31.2   	      1701  	 0.21869	     2.7	      2.6	      2.8
25:DP0187_i7---UDP0	     35  	      32.9   	      1719  	 0.26452	     2.3	      2.2	      2.4
26:DP0127_i7---UDP0	     33  	      31.3   	      1729  	 0.28167	     2.2	      2.1	      2.2
27:DP0162_i7---UDP0	     35  	      33.1   	      1742  	 0.28289	     2.2	      2.1	      2.2
28:DP0102_i7---UDP0	     35  	      33.5   	      1758  	 0.30077	     2.0	      2.0	      2.1
29:DP0097_i7---UDP0	     65  	      62.1   	      1789  	 0.28986	     2.1	      2.0	      2.2
30:DP0167_i7---UDP0	     34  	      31.9   	      1732  	 0.26426	     2.3	      2.2	      2.4

Ending time: Fri Oct 17 10:55:07 2025
-------------------------------------

