Missing data from input file random_001_snps_Genepop.txt.

Possible four types of missing data at a locus:
	1. Genotype contains only zeros or partially scored.
	2. Genotype has less digits than normal one.
	3. Genotype has more digits than normal one.
	4. Genotype contains non-digit character.
Types 3 and 4 stop the program.

In the table, each row is for an individual with missing data
(a) If column 'Locus' has only one number, then it is the first
    locus with missing data and also of highest missing data type.
(b) If column 'Locus' has 2 numbers, then the first number is
    the first locus with data missing, and the second number is
    the first locus that has highest missing data type.
(c) Genotype column contains the genotype of the locus in case (a)
    or the second locus in case (b).

Population 1 [NS.1780.003.UDP0195_i7---UDP0]
-----------------------------------------------------------
Individual       Locus         Genotype     Number of Loci
                                          with missing data
       1           23           000000            66
       2            5           000000            34
       3           78           000000            61
       4           12           000000            17
       5           21           000000            81
       6            4           000000            39
       7           42           000000            35
       8            8           000000            52
       9            5           000000            63
      10           57           000000            17
      11           17           000000            12
      12          116           000000            43
      13          220           000000            12
      14           30           000000            50
      15           56           000000            24
      16           11           000000            63
      17           12           000000            20
      18          381           000000            11
      19           42           000000            29
      20          165           000000            28
      21           30           000000            28
      22            5           000000           295
      23          153           000000            21
      24           85           000000            56
      25           71           000000            24
      26           11           000000            43
      27          113           000000            22
      28           85           000000            39
      29            4           000000            19
      30           57           000000            57
      31           10           000000            63
      32           51           000000            52
      33           31           000000            32
      34           17           000000            46
      35           57           000000            56
      36           31           000000            29
      37          221           000000            27
      38           11           000000            82
      39           15           000000            49
      40           64           000000            11
      41           52           000000            47
      42           11           000000            50
      43           20           000000            68
      44           15           000000           157
      45           64           000000            68
-----------------------------------------------------------
Total missing data for population    1:         2198

Population 2 [NS.1780.003.UDP0241_i7---UDP0]
-----------------------------------------------------------
Individual       Locus         Genotype     Number of Loci
                                          with missing data
       1           68           000000            39
       2            5           000000           292
       3          127           000000            33
       4            8           000000            68
       5          113           000000            17
       6           36           000000            12
       7           67           000000            41
       8           36           000000            27
       9           20           000000            39
      10           17           000000            46
      11           17           000000            42
      12            8           000000            81
      13          170           000000            35
      14           21           000000            75
      15           31           000000            78
      16           11           000000            53
      17          170           000000            53
      18           79           000000            17
      19           52           000000            56
      20            8           000000            89
      21           32           000000            45
      22           31           000000            42
      23           57           000000            12
      24           57           000000            30
      25           31           000000            71
      26            8           000000            41
      27            9           000000            30
      28           12           000000            49
      29           31           000000            99
      30           13           000000            57
      31           17           000000            23
      32           26           000000            25
      33            2           000000           452
      34           21           000000            24
      35           11           000000            55
      36           12           000000            59
      37           94           000000            91
      38           31           000000            29
      39            5           000000            42
      40           10           000000            37
      41           14           000000            64
      42           23           000000            75
      43           23           000000           102
      44            5           000000            43
      45            8           000000           103
      46           56           000000            59
-----------------------------------------------------------
Total missing data for population    2:         2952

Population 3 [NS.1780.004.UDP0193_i7---UDP0]
-----------------------------------------------------------
Individual       Locus         Genotype     Number of Loci
                                          with missing data
       1           17           000000            81
       2            4           000000           186
       3            4           000000            75
       4           12           000000           146
       5            5           000000            15
       6           11           000000            84
       7           31           000000            43
       8            4           000000           165
       9           48           000000            35
      10            4           000000            91
      11            8           000000            18
