SampleSite,Code,Lat,Long,Region,Year
CMA 4,4,52.09,-52.88,Newfoundland,2020
CMA 12C,2420,48.46416667,-58.63138889,Newfoundland,2021
CMA 12G,6222,49.48417,-57.91778,Newfoundland,2021
CMA 10A,10A,46.749833,-54.832167,Newfoundland,2021
CMA 10B,10B,46.33,-55.99,Newfoundland,2020
CMA 3B,3B,50.33,-56.04,Newfoundland,2020
CMA 3N200,3N,43.75,-49.3,Newfoundland,2020
CMA 3D,3D,49.738333,-54.999333,Newfoundland,2021
NAFO 4X,4X,44.28166667,-63.73833333,ScotianShelf,2021
CMA 5A,5A,48.99,-53.12,Newfoundland,2020
CMA 6B,6B,47.95,-52.84,Newfoundland,2020
CMA 8A,8A,46.83,-52.42,Newfoundland,2020
Laurentian Chan,R557,46.33333333,-57.25116667,Newfoundland,2021
Bradelle Bank,BB,47.43418333,-63.13306667,Gulf,2020
Chaleurs,BDC,47.83,-65.5,Gulf,2020
NAFO 3L,CPS,46.948,-47.938167,Newfoundland,2021
Fortune Bay,FB,47.35,-55.46,Newfoundland,2021
Lilly Canyon,LC,44.899451,-49.147473,Newfoundland,2020
Mar B,MB,46.0235,-58.951,ScotianShelf,2020
Mar C,MC,44.45433,-63.25367,ScotianShelf,2020
Mar D,MD,44.45767,-60.865,ScotianShelf,2020
Mar E,ME,44.0905,-59.24933,ScotianShelf,2020
NENSin,NENS_inner,46.49413333,-60.23333333,ScotianShelf,2021
NENSout,NENS_outer,46.389694,-59.129889,ScotianShelf,2021
Quebec,Q,48.901983,-68.112639,Quebec,2020
St Marys Bay,SMB,46.84,-53.85,Newfoundland,2021
CMA N5440,T,55.17,-57.49,Labrador,2020
Trinity Bay,TB,48.1785,-53.327167,Newfoundland,2021
West Cape Breton,WCB,46.53343333,-61.38253333,Gulf,2021
