Sample ID,Poolseq ID (2020)1,Population,Latitude,Longitude,Date collected,gDNA plate ID,UD_i7,UD_i5,Depth
10A_1,,,46.749833,-54.832167,2021,Snow Crab 3 (Lib7) 2091,UDP0097_i7,UDP0097_i5,
10A_10,,,46.749833,-54.832167,2021,Snow Crab 3 (Lib7) 2100,UDP0097_i7,UDP0097_i5,
10A_11,,,46.749833,-54.832167,2021,Snow Crab 3 (Lib7) 2101,UDP0097_i7,UDP0097_i5,
10A_12,,,46.749833,-54.832167,2021,Snow Crab 3 (Lib7) 2102,UDP0097_i7,UDP0097_i5,
10A_13,,,46.749833,-54.832167,2021,Snow Crab 3 (Lib7) 2103,UDP0097_i7,UDP0097_i5,
10A_14,,,46.749833,-54.832167,2021,Snow Crab 3 (Lib7) 2104,UDP0097_i7,UDP0097_i5,
10A_15,,,46.749833,-54.832167,2021,Snow Crab 3 (Lib7) 2105,UDP0097_i7,UDP0097_i5,
10A_16,,,46.749833,-54.832167,2021,Snow Crab 3 (Lib7) 2106,UDP0097_i7,UDP0097_i5,
10A_17,,,46.749833,-54.832167,2021,Snow Crab 3 (Lib7) 2107,UDP0097_i7,UDP0097_i5,
10A_18,,,46.749833,-54.832167,2021,Snow Crab 3 (Lib7) 2108,UDP0097_i7,UDP0097_i5,
10A_19,,,46.749833,-54.832167,2021,Snow Crab 3 (Lib7) 2109,UDP0097_i7,UDP0097_i5,
10A_2,,,46.749833,-54.832167,2021,Snow Crab 3 (Lib7) 2092,UDP0097_i7,UDP0097_i5,
10A_20,,,46.749833,-54.832167,2021,Snow Crab 3 (Lib7) 2110,UDP0097_i7,UDP0097_i5,
10A_21,,,46.749833,-54.832167,2021,Snow Crab 3 (Lib7) 2111,UDP0097_i7,UDP0097_i5,
10A_22,,,46.749833,-54.832167,2021,Snow Crab 3 (Lib7) 2112,UDP0097_i7,UDP0097_i5,
10A_23,,,46.749833,-54.832167,2021,Snow Crab 3 (Lib7) 2113,UDP0097_i7,UDP0097_i5,
10A_24,,,46.749833,-54.832167,2021,Snow Crab 3 (Lib7) 2114,UDP0097_i7,UDP0097_i5,
10A_25,,,46.749833,-54.832167,2021,Snow Crab 3 (Lib7) 2115,UDP0097_i7,UDP0097_i5,
10A_26,,,46.74983333,-54.83166667,2021,,UDP0097_i7,UDP0097_i5,
10A_27,,,46.74983333,-54.83166667,2021,,UDP0098_i7,UDP0098_i5,
10A_28,,,46.74983333,-54.83166667,2021,,UDP0099_i7,UDP0099_i5,
10A_29,,,46.74983333,-54.83166667,2021,,UDP0100_i7,UDP0100_i5,
10A_3,,,46.749833,-54.832167,2021,Snow Crab 3 (Lib7) 2093,UDP0097_i7,UDP0097_i5,
