IID	Sample_ID	Poolseq_ID_2020	Population	Location	Sex	Latitude	Longitude	Date collected	gDNA plate ID	UD_i7.x	UD_i5.x	Depth.x	Location.x	PCadapt1	PCadapt2	PCadapt3	PCadapt4	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
NS.1780.003.UDP0195_i7---UDP0195_i5.MC3.realigned.bam	MC3	C3	Maritime C	Maritimes		44.45433	-63.25367	2020	Snow Crab 4 (2020)	UDP0195_i7	UDP0195_i5		Maritimes	-0.00352528171540245	-0.00558661600896274	-0.0134771484489182	-0.00439096358465476	-0.00550008101823218	-0.0262034384783259	0.000498935535487504	0.0145595343536038	0.00736556032391561	0.0177778918529741	-0.0209930531325658	0.0458609474489909	-0.00212980717541806	-0.0146902972503704
NS.1780.003.UDP0196_i7---UDP0196_i5.MC4.realigned.bam	MC4	C4	Maritime C	Maritimes		44.45433	-63.25367	2020	Snow Crab 4 (2020)	UDP0196_i7	UDP0196_i5		Maritimes	-0.0221434459435104	0.00869762381133381	-0.0790359588882044	-0.0334783152011206	-0.0119003683730723	-0.0805096150312371	0.0266322411703287	-0.0274477165467992	-0.0187427794936757	0.0463719540816714	-0.0142029010078294	0.0319625400943685	0.02461890554717	-0.0249859101058249
NS.1780.003.UDP0197_i7---UDP0197_i5.MC5.realigned.bam	MC5	C5	Maritime C	Maritimes		44.45433	-63.25367	2020	Snow Crab 4 (2020)	UDP0197_i7	UDP0197_i5		Maritimes	-0.0140960057498303	-0.00985858405537579	0.0131905843687106	0.0253005843810171	-0.0142500636028731	0.0141465660340079	-0.00532041150408402	0.0293157854403701	0.0385972354575012	0.0117429006713439	-0.0287138136435265	0.0103266362953059	0.000636824356364238	0.0344665627187917
NS.1780.003.UDP0198_i7---UDP0198_i5.MC6.realigned.bam	MC6	C6	Maritime C	Maritimes		44.45433	-63.25367	2020	Snow Crab 4 (2020)	UDP0198_i7	UDP0198_i5		Maritimes	-0.032269979101208	-0.00750834089520841	-0.0538690868481334	0.00276634743217884	-0.0263823850863312	-0.0428047267445799	0.0156840168430201	0.0109992254398018	-0.0272782297211087	0.0120934536509649	-0.0441283473380616	-0.000682345366370293	-0.0292729656357424	0.0221794732790486
NS.1780.003.UDP0199_i7---UDP0199_i5.MC7.realigned.bam	MC7	C7	Maritime C	Maritimes		44.45433	-63.25367	2020	Snow Crab 4 (2020)	UDP0199_i7	UDP0199_i5		Maritimes	-0.000465308603623271	-0.017609273675361	-0.0307647042663983	-0.0115243170768198	-0.00489854306257615	-0.0395289299167234	-0.0099909967568888	0.0408443159287257	0.0127962315675876	-0.0510302625538687	-0.00355575363429728	-0.0257724055173018	0.0237718120808254	0.011573163181048
NS.1780.003.UDP0200_i7---UDP0200_i5.MC8.realigned.bam	MC8	C8	Maritime C	Maritimes		44.45433	-63.25367	2020	Snow Crab 4 (2020)	UDP0200_i7	UDP0200_i5		Maritimes	-0.0069694075979759	-0.00642684491149767	-0.0316525245006466	0.00204312406601957	-0.00712600454259762	-0.0319398534446409	0.00863442637185133	0.0259633319400793	-0.000554215251125312	-0.0297842939095532	-0.00236612187722918	-0.0052811278337563	0.00917254335740648	-0.0135153660129649
NS.1780.003.UDP0201_i7---UDP0201_i5.MC9.realigned.bam	MC9	C9	Maritime C	Maritimes		44.45433	-63.25367	2020	Snow Crab 4 (2020)	UDP0201_i7	UDP0201_i5		Maritimes	-0.00478033532349232	0.0075050259778094	-0.0346907497763897	-0.0157651512378827	-0.0049760239857254	-0.0370294034222631	0.0152004317988839	-0.00181055609686813	-0.0253200994788196	-0.0115324756097268	-0.0127757016774669	-0.0259744549038302	-0.0407289277170443	-0.00452522396841988
NS.1780.003.UDP0202_i7---UDP0202_i5.MC10.realigned.bam	MC10	C10	Maritime C	Maritimes		44.45433	-63.25367	2020	Snow Crab 4 (2020)	UDP0202_i7	UDP0202_i5		Maritimes	-0.00453376273307096	0.0196728181357298	0.00855149247166623	-0.00587072790697795	-0.00424125888544657	0.0141722176510371	0.0149688622712872	0.0164681782395943	0.0179323977943431	0.0181245434211813	-0.00309200366400275	-0.013417854348256	-0.0166719924816931	0.0192640087795351
NS.1780.003.UDP0203_i7---UDP0203_i5.MC11.realigned.bam	MC11	C11	Maritime C	Maritimes		44.45433	-63.25367	2020	Snow Crab 4 (2020)	UDP0203_i7	UDP0203_i5		Maritimes	-0.0108675252969177	-0.00087747697739801	0.0162758967070047	0.000356008874892238	-0.0137816841527208	0.0135117121318387	0.000811847544760232	0.0170097656157471	0.0426931258327822	-0.030711425694422	0.0249968529191926	0.00537746757400253	-0.0291666024249203	-0.0139912260695755
NS.1780.003.UDP0204_i7---UDP0204_i5.MC12.realigned.bam	MC12		Maritime C	Maritimes		44.45433	-63.25367	2020	Snow Crab 4 (2020)	UDP0204_i7	UDP0204_i5		Maritimes	-0.0364912958627391	0.00604254542226867	0.0219405116470682	0.00784474363719879	-0.0261078821393089	0.019165609493872	0.0127608326069705	-0.0115254386275015	-0.029493295748404	0.0270609893971563	-0.0148578714595493	0.00784563650681912	0.048423991922553	-0.0434468594150141
