INDIVIDUALS_PLINK	INDIVIDUALS_CLEAN
NS.1780.003.UDP0195_i7---UDP0195_i5.MC3.realigned.bam	NS.1780.003.UDP0195-i7---UDP0195-i5.MC3.realigned.bam
NS.1780.003.UDP0196_i7---UDP0196_i5.MC4.realigned.bam	NS.1780.003.UDP0196-i7---UDP0196-i5.MC4.realigned.bam
NS.1780.003.UDP0197_i7---UDP0197_i5.MC5.realigned.bam	NS.1780.003.UDP0197-i7---UDP0197-i5.MC5.realigned.bam
NS.1780.003.UDP0198_i7---UDP0198_i5.MC6.realigned.bam	NS.1780.003.UDP0198-i7---UDP0198-i5.MC6.realigned.bam
NS.1780.003.UDP0199_i7---UDP0199_i5.MC7.realigned.bam	NS.1780.003.UDP0199-i7---UDP0199-i5.MC7.realigned.bam
NS.1780.003.UDP0200_i7---UDP0200_i5.MC8.realigned.bam	NS.1780.003.UDP0200-i7---UDP0200-i5.MC8.realigned.bam
NS.1780.003.UDP0201_i7---UDP0201_i5.MC9.realigned.bam	NS.1780.003.UDP0201-i7---UDP0201-i5.MC9.realigned.bam
NS.1780.003.UDP0202_i7---UDP0202_i5.MC10.realigned.bam	NS.1780.003.UDP0202-i7---UDP0202-i5.MC10.realigned.bam
NS.1780.003.UDP0203_i7---UDP0203_i5.MC11.realigned.bam	NS.1780.003.UDP0203-i7---UDP0203-i5.MC11.realigned.bam
NS.1780.003.UDP0204_i7---UDP0204_i5.MC12.realigned.bam	NS.1780.003.UDP0204-i7---UDP0204-i5.MC12.realigned.bam
NS.1780.003.UDP0205_i7---UDP0205_i5.MC13.realigned.bam	NS.1780.003.UDP0205-i7---UDP0205-i5.MC13.realigned.bam
NS.1780.003.UDP0206_i7---UDP0206_i5.MC14.realigned.bam	NS.1780.003.UDP0206-i7---UDP0206-i5.MC14.realigned.bam
NS.1780.003.UDP0207_i7---UDP0207_i5.MC15.realigned.bam	NS.1780.003.UDP0207-i7---UDP0207-i5.MC15.realigned.bam
NS.1780.003.UDP0208_i7---UDP0208_i5.MC16.realigned.bam	NS.1780.003.UDP0208-i7---UDP0208-i5.MC16.realigned.bam
NS.1780.003.UDP0209_i7---UDP0209_i5.MC17.realigned.bam	NS.1780.003.UDP0209-i7---UDP0209-i5.MC17.realigned.bam
NS.1780.003.UDP0211_i7---UDP0211_i5.MC19.realigned.bam	NS.1780.003.UDP0211-i7---UDP0211-i5.MC19.realigned.bam
NS.1780.003.UDP0212_i7---UDP0212_i5.MC20.realigned.bam	NS.1780.003.UDP0212-i7---UDP0212-i5.MC20.realigned.bam
NS.1780.003.UDP0213_i7---UDP0213_i5.MC21.realigned.bam	NS.1780.003.UDP0213-i7---UDP0213-i5.MC21.realigned.bam
NS.1780.003.UDP0214_i7---UDP0214_i5.MC22.realigned.bam	NS.1780.003.UDP0214-i7---UDP0214-i5.MC22.realigned.bam
NS.1780.003.UDP0215_i7---UDP0215_i5.MC23.realigned.bam	NS.1780.003.UDP0215-i7---UDP0215-i5.MC23.realigned.bam
NS.1780.003.UDP0216_i7---UDP0216_i5.MC24.realigned.bam	NS.1780.003.UDP0216-i7---UDP0216-i5.MC24.realigned.bam
NS.1780.003.UDP0217_i7---UDP0217_i5.MC25.realigned.bam	NS.1780.003.UDP0217-i7---UDP0217-i5.MC25.realigned.bam
NS.1780.003.UDP0218_i7---UDP0218_i5.MC26.realigned.bam	NS.1780.003.UDP0218-i7---UDP0218-i5.MC26.realigned.bam
NS.1780.003.UDP0219_i7---UDP0219_i5.MC27.realigned.bam	NS.1780.003.UDP0219-i7---UDP0219-i5.MC27.realigned.bam
NS.1780.003.UDP0220_i7---UDP0220_i5.MC28.realigned.bam	NS.1780.003.UDP0220-i7---UDP0220-i5.MC28.realigned.bam
NS.1780.003.UDP0221_i7---UDP0221_i5.MC29.realigned.bam	NS.1780.003.UDP0221-i7---UDP0221-i5.MC29.realigned.bam
NS.1780.003.UDP0222_i7---UDP0222_i5.MC30.realigned.bam	NS.1780.003.UDP0222-i7---UDP0222-i5.MC30.realigned.bam
NS.1780.003.UDP0223_i7---UDP0223_i5.MC31.realigned.bam	NS.1780.003.UDP0223-i7---UDP0223-i5.MC31.realigned.bam
NS.1780.003.UDP0224_i7---UDP0224_i5.MC32.realigned.bam	NS.1780.003.UDP0224-i7---UDP0224-i5.MC32.realigned.bam
NS.1780.003.UDP0225_i7---UDP0225_i5.MC33.realigned.bam	NS.1780.003.UDP0225-i7---UDP0225-i5.MC33.realigned.bam
NS.1780.003.UDP0226_i7---UDP0226_i5.MC34.realigned.bam	NS.1780.003.UDP0226-i7---UDP0226-i5.MC34.realigned.bam
NS.1780.003.UDP0227_i7---UDP0227_i5.MC35.realigned.bam	NS.1780.003.UDP0227-i7---UDP0227-i5.MC35.realigned.bam
NS.1780.003.UDP0228_i7---UDP0228_i5.MC36.realigned.bam	NS.1780.003.UDP0228-i7---UDP0228-i5.MC36.realigned.bam
NS.1780.003.UDP0229_i7---UDP0229_i5.MC37.realigned.bam	NS.1780.003.UDP0229-i7---UDP0229-i5.MC37.realigned.bam
NS.1780.003.UDP0230_i7---UDP0230_i5.MC38.realigned.bam	NS.1780.003.UDP0230-i7---UDP0230-i5.MC38.realigned.bam
NS.1780.003.UDP0231_i7---UDP0231_i5.MC39.realigned.bam	NS.1780.003.UDP0231-i7---UDP0231-i5.MC39.realigned.bam
NS.1780.003.UDP0232_i7---UDP0232_i5.MC40.realigned.bam	NS.1780.003.UDP0232-i7---UDP0232-i5.MC40.realigned.bam
NS.1780.003.UDP0233_i7---UDP0233_i5.MC41.realigned.bam	NS.1780.003.UDP0233-i7---UDP0233-i5.MC41.realigned.bam
NS.1780.003.UDP0234_i7---UDP0234_i5.MC42.realigned.bam	NS.1780.003.UDP0234-i7---UDP0234-i5.MC42.realigned.bam
NS.1780.003.UDP0235_i7---UDP0235_i5.MC43.realigned.bam	NS.1780.003.UDP0235-i7---UDP0235-i5.MC43.realigned.bam
NS.1780.003.UDP0236_i7---UDP0236_i5.MC44.realigned.bam	NS.1780.003.UDP0236-i7---UDP0236-i5.MC44.realigned.bam
NS.1780.003.UDP0237_i7---UDP0237_i5.MC45.realigned.bam	NS.1780.003.UDP0237-i7---UDP0237-i5.MC45.realigned.bam
NS.1780.003.UDP0238_i7---UDP0238_i5.MC46.realigned.bam	NS.1780.003.UDP0238-i7---UDP0238-i5.MC46.realigned.bam
NS.1780.003.UDP0239_i7---UDP0239_i5.MC47.realigned.bam	NS.1780.003.UDP0239-i7---UDP0239-i5.MC47.realigned.bam
NS.1780.003.UDP0240_i7---UDP0240_i5.MC48.realigned.bam	NS.1780.003.UDP0240-i7---UDP0240-i5.MC48.realigned.bam
NS.1780.003.UDP0241_i7---UDP0241_i5.ME1.realigned.bam	NS.1780.003.UDP0241-i7---UDP0241-i5.ME1.realigned.bam
NS.1780.003.UDP0242_i7---UDP0242_i5.ME2.realigned.bam	NS.1780.003.UDP0242-i7---UDP0242-i5.ME2.realigned.bam
NS.1780.003.UDP0243_i7---UDP0243_i5.ME3.realigned.bam	NS.1780.003.UDP0243-i7---UDP0243-i5.ME3.realigned.bam
NS.1780.003.UDP0244_i7---UDP0244_i5.ME4.realigned.bam	NS.1780.003.UDP0244-i7---UDP0244-i5.ME4.realigned.bam
NS.1780.003.UDP0245_i7---UDP0245_i5.ME5.realigned.bam	NS.1780.003.UDP0245-i7---UDP0245-i5.ME5.realigned.bam
NS.1780.003.UDP0246_i7---UDP0246_i5.ME6.realigned.bam	NS.1780.003.UDP0246-i7---UDP0246-i5.ME6.realigned.bam
NS.1780.003.UDP0247_i7---UDP0247_i5.ME7.realigned.bam	NS.1780.003.UDP0247-i7---UDP0247-i5.ME7.realigned.bam
NS.1780.003.UDP0248_i7---UDP0248_i5.ME8.realigned.bam	NS.1780.003.UDP0248-i7---UDP0248-i5.ME8.realigned.bam
NS.1780.003.UDP0249_i7---UDP0249_i5.ME9.realigned.bam	NS.1780.003.UDP0249-i7---UDP0249-i5.ME9.realigned.bam
NS.1780.003.UDP0250_i7---UDP0250_i5.ME10.realigned.bam	NS.1780.003.UDP0250-i7---UDP0250-i5.ME10.realigned.bam
NS.1780.003.UDP0251_i7---UDP0251_i5.ME11.realigned.bam	NS.1780.003.UDP0251-i7---UDP0251-i5.ME11.realigned.bam
NS.1780.003.UDP0252_i7---UDP0252_i5.ME12.realigned.bam	NS.1780.003.UDP0252-i7---UDP0252-i5.ME12.realigned.bam
NS.1780.003.UDP0253_i7---UDP0253_i5.ME13.realigned.bam	NS.1780.003.UDP0253-i7---UDP0253-i5.ME13.realigned.bam
NS.1780.003.UDP0254_i7---UDP0254_i5.ME14.realigned.bam	NS.1780.003.UDP0254-i7---UDP0254-i5.ME14.realigned.bam
NS.1780.003.UDP0255_i7---UDP0255_i5.ME15.realigned.bam	NS.1780.003.UDP0255-i7---UDP0255-i5.ME15.realigned.bam
NS.1780.003.UDP0256_i7---UDP0256_i5.ME16.realigned.bam	NS.1780.003.UDP0256-i7---UDP0256-i5.ME16.realigned.bam
NS.1780.003.UDP0257_i7---UDP0257_i5.ME17.realigned.bam	NS.1780.003.UDP0257-i7---UDP0257-i5.ME17.realigned.bam
NS.1780.003.UDP0258_i7---UDP0258_i5.ME18.realigned.bam	NS.1780.003.UDP0258-i7---UDP0258-i5.ME18.realigned.bam
NS.1780.003.UDP0259_i7---UDP0259_i5.ME19.realigned.bam	NS.1780.003.UDP0259-i7---UDP0259-i5.ME19.realigned.bam
NS.1780.003.UDP0260_i7---UDP0260_i5.ME20.realigned.bam	NS.1780.003.UDP0260-i7---UDP0260-i5.ME20.realigned.bam
NS.1780.003.UDP0261_i7---UDP0261_i5.ME21.realigned.bam	NS.1780.003.UDP0261-i7---UDP0261-i5.ME21.realigned.bam
NS.1780.003.UDP0262_i7---UDP0262_i5.ME22.realigned.bam	NS.1780.003.UDP0262-i7---UDP0262-i5.ME22.realigned.bam
NS.1780.003.UDP0263_i7---UDP0263_i5.ME23.realigned.bam	NS.1780.003.UDP0263-i7---UDP0263-i5.ME23.realigned.bam
NS.1780.003.UDP0264_i7---UDP0264_i5.ME24.realigned.bam	NS.1780.003.UDP0264-i7---UDP0264-i5.ME24.realigned.bam
NS.1780.003.UDP0265_i7---UDP0265_i5.ME25.realigned.bam	NS.1780.003.UDP0265-i7---UDP0265-i5.ME25.realigned.bam
NS.1780.003.UDP0266_i7---UDP0266_i5.ME26.realigned.bam	NS.1780.003.UDP0266-i7---UDP0266-i5.ME26.realigned.bam
NS.1780.003.UDP0267_i7---UDP0267_i5.ME27.realigned.bam	NS.1780.003.UDP0267-i7---UDP0267-i5.ME27.realigned.bam
NS.1780.003.UDP0268_i7---UDP0268_i5.ME28.realigned.bam	NS.1780.003.UDP0268-i7---UDP0268-i5.ME28.realigned.bam
NS.1780.003.UDP0269_i7---UDP0269_i5.ME29.realigned.bam	NS.1780.003.UDP0269-i7---UDP0269-i5.ME29.realigned.bam
NS.1780.003.UDP0270_i7---UDP0270_i5.ME30.realigned.bam	NS.1780.003.UDP0270-i7---UDP0270-i5.ME30.realigned.bam
NS.1780.003.UDP0271_i7---UDP0271_i5.ME31.realigned.bam	NS.1780.003.UDP0271-i7---UDP0271-i5.ME31.realigned.bam
NS.1780.003.UDP0272_i7---UDP0272_i5.ME32.realigned.bam	NS.1780.003.UDP0272-i7---UDP0272-i5.ME32.realigned.bam
NS.1780.003.UDP0274_i7---UDP0274_i5.ME34.realigned.bam	NS.1780.003.UDP0274-i7---UDP0274-i5.ME34.realigned.bam
NS.1780.003.UDP0275_i7---UDP0275_i5.ME35.realigned.bam	NS.1780.003.UDP0275-i7---UDP0275-i5.ME35.realigned.bam
NS.1780.003.UDP0276_i7---UDP0276_i5.ME36.realigned.bam	NS.1780.003.UDP0276-i7---UDP0276-i5.ME36.realigned.bam
NS.1780.003.UDP0277_i7---UDP0277_i5.ME37.realigned.bam	NS.1780.003.UDP0277-i7---UDP0277-i5.ME37.realigned.bam
NS.1780.003.UDP0278_i7---UDP0278_i5.ME38.realigned.bam	NS.1780.003.UDP0278-i7---UDP0278-i5.ME38.realigned.bam
NS.1780.003.UDP0279_i7---UDP0279_i5.ME39.realigned.bam	NS.1780.003.UDP0279-i7---UDP0279-i5.ME39.realigned.bam
NS.1780.003.UDP0280_i7---UDP0280_i5.ME40.realigned.bam	NS.1780.003.UDP0280-i7---UDP0280-i5.ME40.realigned.bam
NS.1780.003.UDP0281_i7---UDP0281_i5.ME41.realigned.bam	NS.1780.003.UDP0281-i7---UDP0281-i5.ME41.realigned.bam
NS.1780.003.UDP0282_i7---UDP0282_i5.ME42.realigned.bam	NS.1780.003.UDP0282-i7---UDP0282-i5.ME42.realigned.bam
NS.1780.003.UDP0284_i7---UDP0284_i5.ME44.realigned.bam	NS.1780.003.UDP0284-i7---UDP0284-i5.ME44.realigned.bam
NS.1780.003.UDP0285_i7---UDP0285_i5.ME45.realigned.bam	NS.1780.003.UDP0285-i7---UDP0285-i5.ME45.realigned.bam
NS.1780.003.UDP0286_i7---UDP0286_i5.ME46.realigned.bam	NS.1780.003.UDP0286-i7---UDP0286-i5.ME46.realigned.bam
NS.1780.003.UDP0287_i7---UDP0287_i5.ME47.realigned.bam	NS.1780.003.UDP0287-i7---UDP0287-i5.ME47.realigned.bam
NS.1780.004.UDP0193_i7---UDP0193_i5.MB1.realigned.bam	NS.1780.004.UDP0193-i7---UDP0193-i5.MB1.realigned.bam
NS.1780.004.UDP0194_i7---UDP0194_i5.MB2.realigned.bam	NS.1780.004.UDP0194-i7---UDP0194-i5.MB2.realigned.bam
NS.1780.004.UDP0195_i7---UDP0195_i5.MB3.realigned.bam	NS.1780.004.UDP0195-i7---UDP0195-i5.MB3.realigned.bam
NS.1780.004.UDP0196_i7---UDP0196_i5.MB4.realigned.bam	NS.1780.004.UDP0196-i7---UDP0196-i5.MB4.realigned.bam
NS.1780.004.UDP0197_i7---UDP0197_i5.MB5.realigned.bam	NS.1780.004.UDP0197-i7---UDP0197-i5.MB5.realigned.bam
NS.1780.004.UDP0198_i7---UDP0198_i5.MB6.realigned.bam	NS.1780.004.UDP0198-i7---UDP0198-i5.MB6.realigned.bam
NS.1780.004.UDP0199_i7---UDP0199_i5.MB7.realigned.bam	NS.1780.004.UDP0199-i7---UDP0199-i5.MB7.realigned.bam
NS.1780.004.UDP0200_i7---UDP0200_i5.MB8.realigned.bam	NS.1780.004.UDP0200-i7---UDP0200-i5.MB8.realigned.bam
NS.1780.004.UDP0201_i7---UDP0201_i5.MB9.realigned.bam	NS.1780.004.UDP0201-i7---UDP0201-i5.MB9.realigned.bam
NS.1780.004.UDP0202_i7---UDP0202_i5.MB10.realigned.bam	NS.1780.004.UDP0202-i7---UDP0202-i5.MB10.realigned.bam
NS.1780.004.UDP0204_i7---UDP0204_i5.MB12.realigned.bam	NS.1780.004.UDP0204-i7---UDP0204-i5.MB12.realigned.bam
NS.1780.004.UDP0205_i7---UDP0205_i5.MB13.realigned.bam	NS.1780.004.UDP0205-i7---UDP0205-i5.MB13.realigned.bam
NS.1780.004.UDP0207_i7---UDP0207_i5.MB22.realigned.bam	NS.1780.004.UDP0207-i7---UDP0207-i5.MB22.realigned.bam
NS.1780.004.UDP0208_i7---UDP0208_i5.MB23.realigned.bam	NS.1780.004.UDP0208-i7---UDP0208-i5.MB23.realigned.bam
